State,Year,Unknw,ParFamContUnr,UnatoCont,NoInPaOut,NoInReOut,PaInNoOut,PaInPaOut,PaInReOut,ReInNoOut,ReInPaOut,ReInReOut,ReInStDia,Tdiag,ToEnrEINPC,ToEnrEI6NPC,ToEnrEIPC,ToEnrEI6PC,HL3,TotNoPas,TNscr,Birth,TotPas,Tscr,HL,NHL,PerD,PerDHL,PerEI,PerEI6,PerHL3,HLp,LTF,PerLTF,NPIS,PerNPIS,PerNPOS,PerTNscr,PerOPS,Dr,EIr,LTFr,NPr,CLEARr,PerReDirDiag,ReferOP,PerReferOP,EI,EI6,NPOS,OPS,POS,PerTscr
New York,2016,1221,8,3,22321,287,198768,0,26,900,4340,1346,70,987,12,9,255,171,172,2629,6876,234934,225429,228058,322,665,37.54279193609737,32.62411347517731,82.91925465838509,55.90062111801242,53.41614906832298,1.4119215287339186,1232,46.86192468619247,6656,2.9185558059791807,5.858050847457627,2.926779435926686,97.00623415770364,4.327846425032229,1.1707548079874417,5.40213454472108,11.527769251681589,1.7977882819282813,1.0516826923076923,29194,438.6117788461538,267,180,1659,28320,26661,97.07322056407331
North Carolina,2016,100,50,164,5,1,118379,147,0,383,2535,399,129,439,3,1,164,96,122,912,961,122939,121066,121978,217,222,48.135964912280706,49.430523917995444,76.95852534562212,44.70046082949309,56.22119815668203,1.7790093295512306,314,34.42982456140351,3446,2.8250996081260555,12.957563977972143,0.7816884796525105,92.89798374962383,3.5990096574792174,1.369099345783666,2.574234698060306,7.476758103920379,1.3035137483808557,3.743470690655833,3323,96.43064422518862,167,97,400,3087,2687,99.21831152034748
North Dakota,2016,21,98,30,67,7,11323,0,0,184,1149,88,35,75,1,1,9,4,8,314,101,12954,12539,12853,13,62,23.88535031847134,17.333333333333336,76.92307692307693,38.46153846153847,61.53846153846154,1.0114370185948807,149,47.452229299363054,1456,11.328094608262662,7.246376811594203,0.7796819515207658,87.6923076923077,5.835213568816618,0.7780284758422158,11.592624290049015,24.430094141445576,7.002256282579943,2.403846153846154,1495,102.67857142857142,10,5,95,1311,1216,99.22031804847924
Ohio,2016,102,723,76,53,1,131189,77,2,3805,328,49,0,2704,0,0,103,65,127,3857,3200,138704,131647,135504,202,2502,70.10630023334198,7.4704142011834325,50.99009900990099,32.17821782178218,62.87128712871287,1.4907309009328138,901,23.360124449053668,4182,3.0862557562876374,10.196078431372548,2.3070711731456917,12.039660056657224,19.95513047585311,0.7601251623568308,6.6492502066359664,28.46410438068249,1.8597236981934113,0,4236,101.29124820659972,103,65,52,510,458,97.69292882685431
Oklahoma,2016,360,20,NA,408,13,47029,782,142,390,1749,187,NA,102,13,4,54,20,58,732,332,51032,49968,50700,102,0,13.934426229508196,100,65.68627450980392,23.52941176470588,56.86274509803921,2.011834319526627,NA,NA,2326,4.587771203155818,10.4236513258153,0.6505721899984324,NA,2.011834319526627,1.321499013806706,NA,14.437869822485208,NA,NA,NA,NA,67,24,342,3281,2939,99.34942781000157
Oregon,2016,25,53,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,1110,0,0,88,63,72,1289,923,45868,43656,44945,111,999,86.1132660977502,10,79.27927927927928,56.75675675675676,64.86486486486487,2.4696851707642673,110,8.533747090768037,NA,NA,NA,2.0122961541815645,NA,24.696851707642676,1.9579486038491487,2.447435754811436,28.679497163199468,1.5352097007453556,NA,NA,NA,88,63,NA,NA,NA,97.98770384581843
Pennsylvania,2016,124,228,52,144,39,128366,18,3,537,1261,570,269,682,0,0,124,59,108,1166,5665,138661,131830,132996,165,517,58.490566037735846,24.193548387096776,75.15151515151514,35.75757575757576,65.45454545454545,1.2406388162049986,404,34.6483704974271,2637,1.9827663989894433,30.073710073710075,4.085503494133174,79.77263818110545,5.127973773647327,0.9323588679358777,3.0376853439201175,8.767180967848656,0.6015218502812115,10.200985968904059,2551,96.73871824042473,124,59,612,2035,1423,95.91449650586684
Rhode Island,2016,NA,49,19,191,14,9610,14,6,34,357,140,112,175,0,NA,31,20,21,306,952,11430,10172,10478,38,137,57.18954248366013,21.714285714285715,81.57894736842105,NA,55.26315789473685,3.626646306547051,NA,NA,643,6.136667302920404,22.160664819944596,8.328958880139982,98.09782608695652,16.701660622256156,2.9585798816568047,NA,29.20404657377362,NA,17.418351477449455,736,114.46345256609642,31,NA,160,722,562,91.67104111986002
South Carolina,2016,314,55,34,108,11,50762,163,46,350,444,160,383,449,0,NA,66,43,78,950,1384,53811,51477,52427,113,336,47.26315789473684,25.16703786191537,58.4070796460177,NA,69.02654867256636,2.155377954107616,403,42.421052631578945,1337,2.550212676674233,23.283261802575105,2.5719648399026225,86.85927306616962,8.564289392870087,1.2588933183283422,7.686878898277605,18.12043412745341,1.8692658363057204,28.646222887060585,1073,80.25430067314883,66,NA,217,932,715,97.42803516009738
South Dakota,2016,141,4,29,148,5,11889,0,0,178,428,41,30,52,0,0,4,3,26,254,192,12911,12465,12719,30,22,20.47244094488189,57.692307692307686,13.333333333333334,10,86.66666666666667,2.3586759965406086,174,68.50393700787401,677,5.322745498859973,7.395498392282958,1.4871040198280536,77.75,4.088371727337055,0.3144901328720811,13.68032077993553,19.97012343737715,2.201430930104568,4.431314623338257,800,118.16838995568686,4,3,46,622,576,98.51289598017195
