State,Year,HLp,Tscr1r,NPr,LTFr,CLEARr,Dr,EIr,EI6r,PerTscr,PerTNscr,PerTscr1,PerPas1,PerNotPas1,PerPIS,PerNPIS,PerReferToOPS,PerReDirDiag,PerOPS,PerNPOS,PerLTF,PerD,PerDHL,PerHL3,PerEI,PerEI6,Tscr1,PIS,NPIS,ReferToOPS,OPS,POS,NPOS,CLEAR,EI,EI6,Birth,Tscr,TNscr,NoInPaOut,NoInReOut,PaInPaOut,PaInReOut,PaInNoOut,ReInNoOut,ReInPaOut,ReInReOut,ReInStDia,TotPas,TotNotPas,TotPas1,TotNotPas1,LTF,TDia,TDia3,HL,NHL,HL3,NHL3,ToEnrEIPC,ToEnrEINPC,ToEnrEI6PC,ToEnrEI6NPC
North Dakota,2007,0.41584364279031083,978.4800914856014,48.86162802786152,39.50514606507953,8.212911945108639,1.1435700176733548,0,0,98.76784064072287,NA,96.64236574596981,95.11262218444539,4.887377815554611,NA,NA,NA,NA,NA,NA,8.085106382978722,2.3404255319148937,36.36363636363637,0,0,0,9412,NA,NA,NA,NA,NA,NA,79,0,0,9739,9619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9149,470,8952,460,380,11,3,4,7,0,3,0,0,0,0
Ohio,2007,0.7596170383534943,989.5445164249269,35.809493779739725,8.857421315140744,7.889984521011294,19.062087943587684,0.5159662902023735,0.3654761222266812,92.197709989230475,NA,91.23373834677872,96.66871854292646,3.3312814570735414,NA,NA,NA,NA,NA,NA,2.4734840904542725,53.2319391634981,3.984962406015038,53.77358490566038,67.9245283018868,48.113207547169814,138085,NA,NA,NA,NA,NA,NA,1101,72,51,151353,139544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134547,4997,133485,4600,1236,2660,2415,106,2554,57,2358,72,0,51,0
Oklahoma,2007,2.0285118611596324,984.4292932138765,20.99885426644879,15.514359234424598,3.455983170864559,2.0285118611596324,1.840686688830037,1.2020811029094118,99.00697350069734,NA,97.4653649465365,98.4755399526826,1.5244600473174081,NA,NA,NA,NA,NA,NA,7.38819320214669,9.66010733452594,100,44.44444444444444,90.74074074074075,59.25925925925925,52412,NA,NA,NA,NA,NA,NA,184,98,64,53775,53241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52123,1118,51613,799,826,108,48,108,0,48,0,89,9,64,0
Oregon,2007,1.5596937328670006,977.0772284715001,34.45505246242556,24.50609698459212,2.5994895547783345,7.349465923055109,NA,NA,98.2539240271199,NA,96.00167177486765,96.7856624582789,3.2143375417210858,NA,NA,NA,NA,NA,NA,7.112482853223594,21.330589849108367,21.221864951768488,45.45454545454545,NA,NA,41346,NA,NA,NA,NA,NA,NA,110,NA,NA,43068,42316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40858,1458,40017,1329,1037,311,238,66,245,30,208,NA,NA,NA,NA
Pennsylvania,2007,1.0726624317396634,0,9.633065864259445,1.5323749024852333,1.2537612838515546,6.846929677922657,1.0726624317396634,0.703499387050039,95.71136192425384,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1.5907447577729572,71.07736804049168,15.666327568667345,48.701298701298704,100,65.5844155844156,0,NA,NA,NA,NA,NA,NA,180,154,101,150001,143568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142185,1383,0,0,220,983,650,154,829,75,575,119,35,86,15
Rhode Island,2007,1.0668292311209329,978.5872132896442,15.469023851253525,1.2954354949325613,0.5334146155604664,13.640173740760497,0.8382229673093042,0.5334146155604664,98.63950691521347,NA,96.52736019242333,98.87867933343716,1.1213206665628406,NA,NA,NA,NA,NA,NA,0.8374384236453202,88.17733990147784,7.82122905027933,64.28571428571429,78.57142857142857,50,12842,NA,NA,NA,NA,NA,NA,7,11,7,13304,13123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12920,203,12698,144,17,179,167,14,165,9,158,10,1,7,0
South Carolina,2007,1.3422125858241702,987.2661882883348,37.289418890781754,8.621134685870631,11.632509077142808,17.035775127768314,0.8087691222273845,0.4646120489391358,96.52199910309433,NA,95.292906140482,96.22296202046259,3.777037979537413,NA,NA,NA,NA,NA,NA,2.3119520073834794,45.68527918781726,7.878787878787878,55.12820512820513,60.256410256410255,34.61538461538461,57373,NA,NA,NA,NA,NA,NA,676,47,27,60207,58113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55946,2167,55206,2167,501,990,43,78,912,43,0,47,0,27,0
South Dakota,2007,0.6339144215530903,979.5562599049128,27.57527733755943,24.32646592709984,1.9017432646592711,1.347068145800317,0,0,98.47834568864612,NA,96.46507998439328,97.35479695842096,2.645203041579032,NA,NA,NA,NA,NA,NA,8.821839080459771,4.885057471264368,47.05882352941176,62.5,0,0,12362,NA,NA,NA,NA,NA,NA,24,0,0,12815,12620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12272,348,12035,327,307,17,10,8,9,5,5,0,0,0,0
Tennessee,2007,0.6102230305350819,986.1084521872308,43.038671388915475,13.233464152388244,0.8495261797645257,28.955681056762707,0.3828850387671102,0.28716377907533264,91.0205726358894,NA,89.75615599917231,95.78596129345385,4.214038706546138,NA,NA,NA,NA,NA,NA,3.074784542674451,67.2782874617737,2.1074380165289255,56.86274509803921,62.745098039215684,47.05882352941176,82415,NA,NA,NA,NA,NA,NA,71,32,24,91821,83576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79979,3597,78942,3473,1106,2420,2052,51,2369,29,2023,29,3,24,0
Texas,2007,0.6568144499178982,980.7395730706075,16.782922824302137,14.707389162561576,0.4019704433497537,1.6735632183908047,0.2049261083743842,0.08144499178981938,98.4173074834646,NA,96.52174812409177,98.45617663289525,1.5438233671047485,NA,NA,NA,NA,NA,NA,8.763306199123356,9.971822166562303,39.24646781789639,42.8,31.2,12.4,373294,NA,NA,NA,NA,NA,NA,153,78,31,386746,380625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,374237,6388,367531,5763,5598,637,358,250,387,107,251,63,15,20,11
