State,Year,HLp,NPr,LTFr,CLEARr,Dr,EIr,EI6r,PerTscr,PerTNscr,PerNPIS,PerReferOP,PerReDirDiag,PerOPS,PerNPOS,PerD,PerDHL,PerHL3,PerLTF,PerEI,PerEI6,NPIS,ReferOP,OPS,POS,NPOS,CLEAR,EI,EI6,Birth,Tscr,TNscr,NoInPaOut,NoInReOut,PaInPaOut,PaInReOut,PaInNoOut,ReInNoOut,ReInPaOut,ReInReOut,ReInStDia,Tdiag,TotPas,TotNotPas,HL,NHL,HL3,LTF,ToEnrEIPC,ToEnrEINPC,ToEnrEI6PC,ToEnrEI6NPC
South Carolina,2011,1.2132931429979716,15.223037403552674,8.057024777720905,2.104305294887107,5.080665036304006,0.8151813304517621,0.6066465714989858,96.1905977606769,NA,NA,NA,NA,NA,NA,33.37484433374844,23.88059701492537,51.5625,52.926525529265255,67.1875,50,NA,NA,NA,NA,NA,111,43,32,54838,52749,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,267,51946,803,64,203,33,425,43,0,32,0
South Dakota,2011,1.0633077048912154,23.556355308359237,19.466710289546867,2.535579911663668,1.635858007524947,0,0,98.04330392943064,NA,NA,NA,NA,NA,NA,6.944444444444445,65,84.61538461538461,82.63888888888889,0,0,NA,NA,NA,NA,NA,31,0,0,12470,12226,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,19,11938,288,13,6,11,238,0,0,0,0
Tennessee,2011,0.7539277202198551,38.888078213920906,12.68300987402111,2.3590641568169657,23.85816430760251,0.6201663505034292,0.25536261491317674,97.42216746434156,NA,NA,NA,NA,NA,NA,61.350844277673545,3.1600407747196737,40.32258064516129,32.61413383364603,82.25806451612904,33.87096774193548,NA,NA,NA,NA,NA,194,51,21,84412,82236,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,1961,79038,3198,62,1899,25,1043,45,6,21,0
Texas,2011,1.0998164276992002,13.825878572718622,10.291909610185163,0.9407743462426983,2.595890244790024,0.25878033592922356,0.2129546514417569,98.86153772355513,NA,NA,NA,NA,NA,NA,18.775589783583545,42.36760124610592,63.725490196078425,74.43946188340807,23.52941176470588,19.362745098039216,NA,NA,NA,NA,NA,349,96,79,375243,370971,NA,NA,NA,NA,NA,NA,4273,NA,NA,NA,962,365842,5129,408,554,260,3818,77,19,70,9
Utah,2011,2.0131240200538123,13.743442829213526,7.58792899866437,1.5098430150403592,4.665027777240084,1.6840556706219392,1.1033468186833395,98.85380788365863,NA,NA,NA,NA,NA,NA,33.943661971830984,43.15352697095436,57.692307692307686,55.21126760563381,83.65384615384616,54.807692307692314,NA,NA,NA,NA,NA,78,87,57,52260,51661,NA,NA,NA,NA,NA,NA,224,NA,NA,NA,240,50951,710,104,136,60,392,87,0,57,0
Vermont,2011,1.419950301739439,25.38161164359247,10.117145899893504,9.939652112176073,5.502307419240326,1.419950301739439,1.0649627263045793,98.79011046817465,NA,NA,NA,NA,NA,NA,21.678321678321677,25.806451612903224,62.5,39.86013986013986,100,75,NA,NA,NA,NA,NA,56,8,6,5703,5634,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,30,5491,143,8,22,5,57,8,0,6,0
Virginia,2011,1.3739569961489089,28.9132702182285,3.831033376123235,1.8553433889602053,23.236922336328625,0.7722240051347882,0.4412708600770218,98.69348325283079,NA,NA,NA,NA,NA,NA,80.36767256330212,5.912818299525248,54.01459854014598,13.250086715227194,56.20437956204379,32.11678832116788,NA,NA,NA,NA,NA,185,77,44,101032,99712,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2316,96829,2883,137,2179,74,382,38,39,24,20
Washington,2011,1.5731832758516369,11.508440733345434,6.099110546378653,0.7260845888546016,4.695347007926423,0,0,95.03082018492111,NA,NA,NA,NA,NA,NA,40.79915878023134,33.50515463917525,59.23076923076923,52.99684542586751,0,0,NA,NA,NA,NA,NA,60,0,0,86956,82635,NA,NA,NA,NA,NA,NA,383,NA,NA,NA,387,81684,951,130,257,77,504,0,0,0,0
West Virginia,2011,0.3360053760860174,63.40901454423271,21.312340997455962,2.160034560552969,39.98463975423606,0.2880046080737292,0.2880046080737292,100,NA,NA,NA,NA,NA,NA,63.05828917486752,0.8403361344537815,57.14285714285714,33.6109008327025,85.71428571428571,85.71428571428571,NA,NA,NA,NA,NA,45,6,6,20833,20833,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,832,19512,1321,7,825,4,444,6,0,6,0
Wisconsin,2011,1.5260485918046658,10.334824126677143,2.145533663725372,0.6497038559168379,7.554695999032999,0.997219871872356,0.6043756799226399,99.07636113231838,NA,NA,NA,NA,NA,NA,73.09941520467837,20.200000000000003,40.5940594059406,20.760233918128655,65.34653465346535,39.603960396039604,NA,NA,NA,NA,NA,43,66,40,66801,66184,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,499,65500,684,101,398,41,142,66,0,40,0
